seed,model,selection_type,scenario,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,total_cost
3,baseline,max_f1,not_applicable,0.26,0.7601135557132718,0.532967032967033,0.7780748663101604,0.6326086956521739,0.8417189800821515,0.6348303457246143,
3,baseline,cost_based,low_incentive,0.07,0.5982966643009227,0.394273127753304,0.9572192513368984,0.5585023400936038,0.8417189800821515,0.6348303457246143,21300.0
3,baseline,cost_based,medium_incentive,0.16,0.6912704045422285,0.4575799721835883,0.8796791443850267,0.6020128087831657,0.8417189800821515,0.6348303457246143,36900.0
3,baseline,cost_based,high_incentive,0.26,0.7601135557132718,0.532967032967033,0.7780748663101604,0.6326086956521739,0.8417189800821515,0.6348303457246143,55500.0
3,balanced,max_f1,not_applicable,0.5,0.7622427253371186,0.5360443622920518,0.7754010695187166,0.6338797814207651,0.8412255547805421,0.631985295930392,
3,balanced,cost_based,low_incentive,0.21,0.6252661462029808,0.4100467289719626,0.9385026737967914,0.5707317073170731,0.8412255547805421,0.631985295930392,22050.0
3,balanced,cost_based,medium_incentive,0.34,0.6884315117104329,0.4555403556771545,0.8903743315508021,0.6027149321266968,0.8412255547805421,0.631985295930392,36180.0
3,balanced,cost_based,high_incentive,0.39,0.7132718239886444,0.4774774774774775,0.8502673796791443,0.6115384615384616,0.8412255547805421,0.631985295930392,58560.0
4,baseline,max_f1,not_applicable,0.37,0.772888573456352,0.5572033898305084,0.7032085561497327,0.6217494089834515,0.8401276188999973,0.6557257086020482,
4,baseline,cost_based,low_incentive,0.13,0.630943931866572,0.4120481927710843,0.9144385026737968,0.5681063122923588,0.8401276188999973,0.6557257086020482,24240.0
4,baseline,cost_based,medium_incentive,0.16,0.6600425833924769,0.432258064516129,0.8957219251336899,0.5831157528285466,0.8401276188999973,0.6557257086020482,38100.0
4,baseline,cost_based,high_incentive,0.31,0.7650816181689141,0.540796963946869,0.7620320855614974,0.632630410654828,0.8401276188999973,0.6557257086020482,55740.0
4,balanced,max_f1,not_applicable,0.63,0.7764371894960965,0.5639913232104121,0.6951871657754011,0.6227544910179641,0.8405022087886538,0.6544579332232124,
4,balanced,cost_based,low_incentive,0.32,0.6458481192334989,0.422360248447205,0.9090909090909092,0.5767599660729432,0.8405022087886538,0.6544579332232124,24150.0
4,balanced,cost_based,medium_incentive,0.32,0.6458481192334989,0.422360248447205,0.9090909090909092,0.5767599660729432,0.8405022087886538,0.6544579332232124,38100.0
4,balanced,cost_based,high_incentive,0.55,0.7650816181689141,0.5403377110694184,0.7700534759358288,0.6350606394707828,0.8405022087886538,0.6544579332232124,55200.0
5,baseline,max_f1,not_applicable,0.25,0.7494677075940384,0.5176470588235295,0.8235294117647058,0.6357069143446853,0.850784055387636,0.6465443881149375,
5,baseline,cost_based,low_incentive,0.14,0.6628814762242725,0.4372670807453416,0.9411764705882352,0.5971162001696353,0.850784055387636,0.6465443881149375,20190.0
5,baseline,cost_based,medium_incentive,0.16,0.681334279630944,0.4508519003931848,0.9197860962566844,0.6051011433597185,0.850784055387636,0.6465443881149375,34140.0
5,baseline,cost_based,high_incentive,0.25,0.7494677075940384,0.5176470588235295,0.8235294117647058,0.6357069143446853,0.850784055387636,0.6465443881149375,54240.0
5,balanced,max_f1,not_applicable,0.45,0.7345635202271115,0.5,0.8475935828877005,0.628968253968254,0.8494613655738975,0.6425716989093267,
5,balanced,cost_based,low_incentive,0.35,0.681334279630944,0.4508519003931848,0.9197860962566844,0.6051011433597185,0.8494613655738975,0.6425716989093267,21570.0
5,balanced,cost_based,medium_incentive,0.35,0.681334279630944,0.4508519003931848,0.9197860962566844,0.6051011433597185,0.8494613655738975,0.6425716989093267,34140.0
5,balanced,cost_based,high_incentive,0.44,0.7331440738112136,0.4984520123839009,0.8609625668449198,0.6313725490196078,0.8494613655738975,0.6425716989093267,54480.0
6,baseline,max_f1,not_applicable,0.4,0.7835344215755855,0.5823389021479713,0.6524064171122995,0.6153846153846154,0.8328799503991319,0.6295267224055839,
